Hair Color,Eye Color,Skin Tone,Under Tone,Personal Color Season,Recommended Clothing Colors,Avoid Clothing Colors,Recommended Jewelry Metal,Recommended Clothing Color Wheel Region,Avoid Clothing Color Wheel Region
Black,Brown,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Brown,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Green,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Green,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Green,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Green,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Green,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Green,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Green,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Green,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Green,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Green,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Green,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Green,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Green,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Green,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Green,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Green,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Green,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Green,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Blue,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Blue,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Blue,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Blue,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Blue,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Blue,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Blue,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Blue,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Blue,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Blue,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Blue,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Blue,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Blue,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Blue,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Blue,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Blue,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Blue,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Blue,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Hazel,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Hazel,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Hazel,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Hazel,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Hazel,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Hazel,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Hazel,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Hazel,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Hazel,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Hazel,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Hazel,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Hazel,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Hazel,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Hazel,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Hazel,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Hazel,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Hazel,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Hazel,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Grey,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Grey,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Grey,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Grey,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Grey,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Grey,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Grey,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Grey,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Grey,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Grey,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Grey,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Grey,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Grey,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Grey,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Grey,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Grey,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Grey,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Grey,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Black,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Black,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Black,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Black,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Black,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Black,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Black,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Black,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Black,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Black,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Black,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Black,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Black,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Black,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Black,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Black,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Black,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Black,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Brown,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Brown,Very Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Brown,Very Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Brown,Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Brown,Fair,Cool,Summer,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Brown,Fair,Neutral,Summer,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Brown,Medium,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Brown,Medium,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Brown,Medium,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Brown,Olive,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Brown,Olive,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Brown,Olive,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Brown,Brown,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Brown,Brown,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Brown,Brown,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Brown,Very Dark,Warm,Autumn,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
Black,Light Brown,Very Dark,Cool,Winter,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Silver,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel
Black,Light Brown,Very Dark,Neutral,Autumn,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Rose Gold,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts
Black,Light Blue,Very Fair,Warm,Spring,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Gold,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel
